"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","8,280","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","4,843","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","115,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","682,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","111,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","5,474","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","5,454","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","5,278","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","283,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","753,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","51,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","5,240","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","7,242","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","2,828","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","53,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","573,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","41,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","2,135","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","5,969","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","2,589","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","87,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","830,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","77,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","4,818","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","6,539","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","5,923","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","716,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","90,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","5,916","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","4,973","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","395,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","1,002,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","264,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","5,493","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","7,369","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","7,126","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","970,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","274,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","7,347","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","7,834","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","79,000","32.9"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","2,548","49.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","15,000","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","347,000","17.4"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","71,000","32.9"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","770","(L)"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","3,894","22.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $ / OPERATION","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","3,395","49.5"
"CENSUS","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","OPERATORS","OPERATORS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
