GEOID,Slope,VRML,VRM,VRML_St
54007,12.019951,0.001918,0.010038,0.001546
55121,4.509467,0.000493,0.002009,0.000164
53027,7.565789,0.000997,0.004591,0.000965
53005,2.86321,0.000135,0.000606,0.000965
54033,9.225777,0.001297,0.006428,0.001546
54085,8.381843,0.001634,0.006299,0.001546
54103,11.842318,0.002329,0.010977,0.001546
54099,10.06999,0.002066,0.008822,0.001546
54011,7.639127,0.00162,0.005879,0.001546
55111,4.055022,0.000365,0.001579,0.000164
55043,4.113672,0.000448,0.001811,0.000164
53015,10.857439,0.001059,0.0054,0.000965
53075,4.908464,0.000485,0.001988,0.000965
54027,7.89559,0.000668,0.003454,0.001546
55075,1.669879,0.000089,0.000296,0.000164
54043,10.826263,0.002282,0.009907,0.001546
13271,1.40923,0.000054,0.000172,0.000157
13279,1.42583,0.000053,0.00017,0.000157
16069,11.274402,0.001435,0.006981,0.000996
13301,1.989765,0.0001,0.000332,0.000157
13007,1.346093,0.000093,0.000225,0.000157
13143,2.88652,0.000184,0.000666,0.000157
35021,2.425381,0.000151,0.0007,0.000347
19041,0.897384,0.000029,0.000091,0.000094
1005,2.353958,0.000128,0.000466,0.000183
56025,3.730389,0.000233,0.001055,0.000425
56045,2.858597,0.000175,0.000734,0.000425
40013,1.225375,0.000043,0.000144,0.000083
20099,0.861903,0.000023,0.000069,0.00005
38099,0.605535,0.00002,0.000054,0.000063
38031,0.674911,0.000018,0.000054,0.000063
38097,0.445013,0.000013,0.00003,0.000063
38005,0.969807,0.000028,0.000095,0.000063
21187,4.20492,0.000484,0.001717,0.000807
21193,13.901964,0.002894,0.013943,0.000807
21049,3.210959,0.000333,0.001161,0.000807
16059,16.663842,0.001569,0.009625,0.000996
16041,9.379754,0.000703,0.004027,0.000996
16037,15.750362,0.001503,0.008976,0.000996
13221,2.213141,0.000112,0.000399,0.000157
47159,7.509641,0.001054,0.005,0.000501
46095,2.356777,0.00012,0.00045,0.000099
37107,1.163422,0.000074,0.00017,0.000326
37017,0.884024,0.000044,0.000104,0.000326
37193,7.518701,0.00079,0.003804,0.000326
37111,10.110766,0.001155,0.005622,0.000326
37089,8.279282,0.000776,0.004112,0.000326
13137,5.19881,0.000471,0.002101,0.000157
37167,2.501302,0.000159,0.000579,0.000326
13289,2.27633,0.000103,0.000441,0.000157
17007,1.030925,0.000032,0.000103,0.000059
37175,10.540041,0.001159,0.006046,0.000326
37105,1.953031,0.000096,0.000328,0.000326
37165,1.194906,0.000056,0.000147,0.000326
13105,2.246738,0.000127,0.000446,0.000157
37139,1.011886,0.000058,0.000158,0.000326
13051,1.155854,0.000083,0.000207,0.000157
13073,2.315729,0.000115,0.000419,0.000157
13189,2.124376,0.00011,0.000361,0.000157
37131,1.189277,0.000068,0.000172,0.000326
37115,13.735788,0.001998,0.009669,0.000326
48405,1.916014,0.000086,0.000303,0.000105
48313,1.093555,0.000046,0.000122,0.000105
48107,1.256868,0.000061,0.000199,0.000105
48015,1.168078,0.000044,0.000131,0.000105
8077,8.952215,0.000961,0.004578,0.000564
26085,1.711518,0.000085,0.000281,0.000073
26041,1.175028,0.000054,0.000161,0.000073
26089,3.237682,0.000233,0.000913,0.000073
26071,1.993621,0.000084,0.00033,0.000073
26141,1.344,0.000059,0.000197,0.000073
26103,2.321553,0.00014,0.000565,0.000073
6003,14.859778,0.00107,0.006359,0.000882
6051,11.397989,0.00095,0.005295,0.000882
6025,2.180184,0.000228,0.000896,0.000882
6027,10.755757,0.001203,0.005755,0.000882
6063,11.534855,0.000923,0.005349,0.000882
8107,9.428863,0.000724,0.003935,0.000564
10003,1.575506,0.000098,0.000312,0.000056
10001,0.830462,0.000037,0.000095,0.000056
1003,1.398047,0.000058,0.000192,0.000183
1071,6.520265,0.000296,0.001839,0.000183
8055,6.314718,0.000536,0.002629,0.000564
8001,1.250043,0.000031,0.000105,0.000564
8059,9.837324,0.001005,0.00511,0.000564
8005,1.714145,0.000044,0.000174,0.000564
8029,7.783669,0.000583,0.002859,0.000564
8049,11.743133,0.000866,0.005203,0.000564
8015,14.35576,0.001101,0.006646,0.000564
8065,13.383573,0.000837,0.005607,0.000564
6105,17.606674,0.001823,0.01022,0.000882
18175,2.956908,0.000289,0.00102,0.000102
18149,0.996459,0.000049,0.000135,0.000102
19003,2.29681,0.000142,0.00044,0.000094
17027,0.7164,0.000026,0.000074,0.000059
17003,2.243699,0.000234,0.000749,0.000059
18083,1.064487,0.000038,0.000122,0.000102
18099,1.085681,0.000054,0.000156,0.000102
18051,1.215712,0.00005,0.000163,0.000102
19185,1.827244,0.000093,0.000311,0.000094
13103,1.248335,0.000075,0.000194,0.000157
40077,5.053066,0.0002,0.001313,0.000083
40133,1.855334,0.00008,0.000293,0.000083
41017,3.663265,0.000163,0.000855,0.000839
41003,8.968364,0.001089,0.005243,0.000839
42099,7.212478,0.000361,0.002375,0.00037
45061,1.062444,0.00004,0.000112,0.000113
41015,16.44586,0.001849,0.00984,0.000839
41061,9.38303,0.000748,0.004223,0.000839
41055,7.073839,0.000799,0.004206,0.000839
13319,2.530206,0.000119,0.000506,0.000157
13209,1.492564,0.000059,0.000186,0.000157
13317,2.216368,0.000109,0.00039,0.000157
16083,3.396787,0.000263,0.00128,0.000996
13241,10.797838,0.001146,0.006129,0.000157
13033,1.561934,0.000076,0.000236,0.000157
13261,1.472286,0.000075,0.000212,0.000157
16077,5.265271,0.000515,0.002543,0.000996
1073,4.22985,0.000409,0.001638,0.000183
1121,3.201768,0.000246,0.000956,0.000183
1001,2.68808,0.000157,0.000611,0.000183
1091,1.832502,0.000108,0.000348,0.000183
1041,2.137838,0.000114,0.000402,0.000183
32003,6.825358,0.000807,0.003575,0.000559
24035,0.965374,0.000045,0.000122,0.000178
35045,3.376606,0.000243,0.001108,0.000347
35055,8.668989,0.000747,0.004221,0.000347
36103,1.125621,0.000062,0.000191,0.000214
36119,4.227293,0.00028,0.001404,0.000214
36031,8.966933,0.00054,0.003383,0.000214
36025,9.821752,0.000333,0.003122,0.000214
21151,3.925074,0.000436,0.001777,0.000807
21209,2.618846,0.000242,0.000742,0.000807
21133,15.428575,0.00273,0.0134,0.000807
21093,2.778054,0.000255,0.000979,0.000807
21067,1.882695,0.000108,0.000393,0.000807
21059,1.599591,0.0001,0.000313,0.000807
21099,3.864387,0.00032,0.001399,0.000807
21205,7.779511,0.001684,0.006066,0.000807
21005,3.268487,0.00037,0.001171,0.000807
21123,2.993551,0.000361,0.001321,0.000807
21115,10.735027,0.00267,0.01033,0.000807
21107,2.063801,0.00012,0.000429,0.000807
21013,14.325146,0.001667,0.009476,0.000807
21051,12.100266,0.002391,0.011046,0.000807
21189,9.805574,0.002115,0.008519,0.000807
31171,2.186101,0.000087,0.000311,0.000076
30055,2.298681,0.000096,0.000366,0.000501
24005,3.197324,0.000242,0.000962,0.000178
24003,1.899785,0.000135,0.000416,0.000178
24013,3.295333,0.000231,0.000942,0.000178
24021,3.976661,0.000207,0.001012,0.000178
24039,1.046433,0.000066,0.000169,0.000178
24029,1.133687,0.000062,0.000176,0.000178
24047,0.993256,0.000065,0.000184,0.000178
39123,0.611495,0.000027,0.000073,0.000249
29057,1.81353,0.00008,0.000304,0.000189
28137,1.573087,0.00007,0.000222,0.000088
28033,1.380312,0.000066,0.000202,0.000088
28083,0.608106,0.000025,0.000061,0.000088
28087,1.250429,0.000061,0.000175,0.000088
28053,0.566296,0.000021,0.000058,0.000088
28131,1.473845,0.000061,0.000192,0.000088
36111,7.427944,0.000325,0.002302,0.000214
36043,4.209236,0.000228,0.001124,0.000214
36091,3.627599,0.000186,0.000906,0.000214
36017,5.28424,0.000173,0.001136,0.000214
48229,2.781046,0.000231,0.000983,0.000105
47185,5.154718,0.000383,0.001921,0.000501
47001,9.369256,0.000846,0.004623,0.000501
47107,4.381238,0.000434,0.001751,0.000501
47049,5.789323,0.000554,0.00265,0.000501
47081,4.204687,0.000474,0.001643,0.000501
47143,5.051427,0.000469,0.002214,0.000501
47093,4.497894,0.000395,0.001837,0.000501
47013,11.458,0.001208,0.00662,0.000501
47123,7.736945,0.001063,0.004558,0.000501
47003,2.931025,0.000263,0.001068,0.000501
47019,11.556146,0.001563,0.007401,0.000501
47085,3.739539,0.000389,0.001323,0.000501
47167,1.37783,0.00008,0.000229,0.000501
47091,11.41699,0.001536,0.007003,0.000501
47041,6.172177,0.001082,0.004366,0.000501
49019,9.929225,0.001532,0.007637,0.000891
47097,1.427541,0.000081,0.000254,0.000501
47149,2.335168,0.000131,0.000663,0.000501
49025,8.445183,0.001247,0.005508,0.000891
47157,1.353944,0.000074,0.000205,0.000501
18129,1.249023,0.000057,0.000176,0.000102
23003,3.187299,0.000077,0.000497,0.000116
23029,2.230978,0.000074,0.000352,0.000116
23027,3.286994,0.000106,0.000592,0.000116
4025,7.130473,0.000803,0.003807,0.000642
4009,7.34538,0.000911,0.004294,0.000642
49043,10.783984,0.000829,0.004742,0.000891
49007,12.828864,0.001756,0.009903,0.000891
49051,11.723018,0.001071,0.006115,0.000891
53067,5.319695,0.000505,0.002359,0.000965
27147,1.008525,0.000036,0.000107,0.000071
27127,0.766567,0.000027,0.000079,0.000071
27087,1.173953,0.000053,0.000166,0.000071
27015,0.90927,0.000041,0.000131,0.000071
46085,2.1525,0.000112,0.000425,0.000099
46041,2.289969,0.000116,0.000423,0.000099
46075,2.40078,0.000111,0.000438,0.000099
48235,1.802384,0.000046,0.000217,0.000105
48125,1.848416,0.000094,0.000316,0.000105
48239,0.576321,0.00002,0.000048,0.000105
21203,7.457243,0.001068,0.004732,0.000807
21147,7.640735,0.001082,0.004823,0.000807
27023,0.732164,0.000023,0.000071,0.000071
27011,0.759782,0.000022,0.000067,0.000071
40117,1.827192,0.000068,0.000265,0.000083
13249,2.083947,0.000096,0.000334,0.000157
13309,1.411496,0.000051,0.000166,0.000157
12127,1.106829,0.000068,0.000166,0.000081
12031,1.090547,0.000076,0.000187,0.000081
12103,0.885041,0.000043,0.000105,0.000081
12069,1.440701,0.000095,0.00025,0.000081
12119,1.480334,0.000124,0.000287,0.000081
12023,2.447954,0.000367,0.000878,0.000081
12033,1.354025,0.000059,0.000192,0.000081
12089,1.076348,0.000064,0.000157,0.000081
12079,1.331472,0.000073,0.000199,0.000081
12017,1.355007,0.000077,0.000212,0.000081
12125,2.320405,0.000329,0.000785,0.000081
42133,3.98541,0.000265,0.001212,0.00037
42125,6.089822,0.000608,0.002898,0.00037
42063,5.927191,0.000449,0.002508,0.00037
42005,6.677076,0.000681,0.003388,0.00037
44009,2.187723,0.000115,0.000353,0.000139
45083,2.454362,0.000143,0.000513,0.000113
45019,1.010348,0.000065,0.000153,0.000113
45027,1.008935,0.000062,0.000139,0.000113
45015,1.098951,0.000073,0.000161,0.000113
45055,1.867976,0.00008,0.000284,0.000113
45043,1.224162,0.000084,0.000205,0.000113
41051,7.296868,0.000756,0.003463,0.000839
41007,8.915495,0.001035,0.004773,0.000839
42043,5.108509,0.0002,0.001285,0.00037
45049,1.158637,0.000059,0.000162,0.000113
45053,1.098433,0.000056,0.000152,0.000113
39095,0.806233,0.000037,0.000104,0.000249
39011,0.862057,0.000039,0.000111,0.000249
41033,16.681366,0.001737,0.010108,0.000839
41031,7.878927,0.000626,0.003367,0.000839
44005,2.040524,0.000126,0.000383,0.000139
41039,13.331002,0.001804,0.008853,0.000839
42103,4.294311,0.00018,0.001051,0.00037
45009,1.144979,0.000056,0.00015,0.000113
40125,1.632593,0.000052,0.000199,0.000083
40135,3.271272,0.000159,0.000836,0.000083
40027,1.578684,0.000048,0.0002,0.000083
45067,1.379875,0.000103,0.000249,0.000113
40113,2.36313,0.000105,0.00047,0.000083
45069,1.182049,0.000062,0.000159,0.000113
48453,2.573791,0.000149,0.000656,0.000105
48345,1.715249,0.000061,0.000221,0.000105
48423,1.912866,0.000086,0.000303,0.000105
48213,1.5749,0.000068,0.000232,0.000105
48157,0.624062,0.000027,0.000065,0.000105
48427,0.806736,0.000016,0.000047,0.000105
48347,2.052503,0.000102,0.000349,0.000105
48161,1.362129,0.000047,0.000165,0.000105
48141,2.380473,0.00024,0.000911,0.000105
48135,0.671698,0.000023,0.000046,0.000105
48245,0.589475,0.000025,0.000057,0.000105
48379,1.14414,0.000054,0.000142,0.000105
48349,0.93341,0.000028,0.000085,0.000105
48351,1.603532,0.00008,0.000259,0.000105
48071,0.50109,0.000018,0.000043,0.000105
48287,1.289855,0.00004,0.000134,0.000105
48401,1.93282,0.000092,0.000314,0.000105
48089,0.868903,0.00003,0.000083,0.000105
48055,1.249035,0.000036,0.000122,0.000105
48005,1.554176,0.000074,0.00023,0.000105
48035,1.941139,0.000083,0.000315,0.000105
48333,1.938691,0.000059,0.000258,0.000105
48083,1.49742,0.00005,0.000183,0.000105
48409,0.545681,0.000018,0.000039,0.000105
30035,6.780702,0.000625,0.002988,0.000501
30047,10.725517,0.00091,0.005345,0.000501
30043,9.319188,0.00067,0.003834,0.000501
30099,5.200823,0.000511,0.00278,0.000501
29087,1.770714,0.000102,0.00036,0.000189
29171,2.472883,0.000149,0.000532,0.000189
30071,2.332914,0.000143,0.000549,0.000501
30089,16.067895,0.001293,0.008215,0.000501
30105,1.903541,0.000081,0.000299,0.000501
30057,10.307877,0.000866,0.004973,0.000501
30007,8.222119,0.000742,0.004108,0.000501
37119,1.924875,0.000105,0.00034,0.000326
37183,1.906007,0.000096,0.000314,0.000326
37163,1.041328,0.000054,0.000125,0.000326
13113,1.994822,0.000116,0.000374,0.000157
37021,11.263214,0.001053,0.005907,0.000326
37173,16.856076,0.002075,0.011384,0.000326
37179,1.612272,0.000084,0.00025,0.000326
37147,0.90316,0.000042,0.000108,0.000326
37083,1.234118,0.000053,0.000155,0.000326
17189,0.793393,0.000031,0.000083,0.000059
17097,1.18757,0.00005,0.000148,0.000059
17197,0.893084,0.000032,0.000094,0.000059
17031,0.898248,0.000044,0.000121,0.000059
17043,1.058131,0.000039,0.000116,0.000059
37079,1.240375,0.000087,0.000197,0.000326
37127,1.387745,0.000078,0.000204,0.000326
37141,0.746627,0.000029,0.00007,0.000326
37023,6.678657,0.000684,0.003132,0.000326
37161,5.802711,0.000527,0.002473,0.000326
37129,0.740212,0.000032,0.000078,0.000326
37123,3.004753,0.000217,0.000831,0.000326
37051,1.183029,0.000057,0.000151,0.000326
13123,8.275737,0.00091,0.004325,0.000157
37087,15.473328,0.001792,0.009823,0.000326
37053,0.787389,0.000034,0.000097,0.000326
13157,2.65503,0.00016,0.000567,0.000157
37037,2.223961,0.000113,0.000412,0.000326
37125,2.006099,0.000091,0.000313,0.000326
13215,2.284612,0.000138,0.000458,0.000157
13311,7.726705,0.000732,0.003832,0.000157
37157,2.634916,0.000174,0.000599,0.000326
37155,1.195552,0.000086,0.000202,0.000326
37121,13.423208,0.001599,0.008187,0.000326
37199,14.988258,0.001738,0.009255,0.000326
37007,2.263221,0.00014,0.000448,0.000326
37093,1.416527,0.000049,0.000156,0.000326
37117,1.032418,0.000052,0.000136,0.000326
37153,2.165136,0.000121,0.000403,0.000326
48267,2.742647,0.000138,0.000599,0.000105
48321,0.42098,0.000016,0.00004,0.000105
48063,1.515817,0.000068,0.000227,0.000105
48449,1.269753,0.000055,0.00017,0.000105
48037,1.156647,0.00005,0.000146,0.000105
48407,1.546617,0.000068,0.000229,0.000105
48043,5.196327,0.000555,0.00249,0.000105
48323,0.832129,0.000017,0.000054,0.000105
48455,1.456559,0.000066,0.000206,0.000105
26163,0.847594,0.000039,0.000103,0.000073
26003,1.688764,0.000082,0.00029,0.000073
51600,2.016533,0.000114,0.000361,0.000533
21165,8.35138,0.001665,0.006587,0.000807
21055,2.989261,0.000181,0.000792,0.000807
21131,14.997338,0.002936,0.015401,0.000807
21027,3.809262,0.000283,0.001258,0.000807
21153,9.601016,0.002487,0.008671,0.000807
21175,7.419519,0.001577,0.005365,0.000807
21063,7.516495,0.001535,0.005424,0.000807
51091,11.582431,0.001303,0.006476,0.000533
51690,3.990241,0.000309,0.001203,0.000533
48443,3.447426,0.000288,0.001215,0.000105
48311,0.902885,0.000016,0.000056,0.000105
6073,8.864644,0.000903,0.004396,0.000882
6033,11.981867,0.001185,0.005937,0.000882
6097,9.522824,0.001158,0.005518,0.000882
6013,5.941112,0.000664,0.003043,0.000882
6023,14.959539,0.00152,0.007981,0.000882
6045,14.000792,0.001669,0.008398,0.000882
6047,2.459951,0.000244,0.001021,0.000882
6009,9.266242,0.000893,0.004553,0.000882
6039,7.21395,0.000559,0.002937,0.000882
12117,1.21945,0.000079,0.000192,0.000081
35011,1.388683,0.000054,0.000145,0.000347
13265,2.216714,0.000096,0.000363,0.000157
48261,0.476919,0.000015,0.000033,0.000105
16033,6.853834,0.000573,0.003235,0.000996
20203,0.732794,0.000025,0.000062,0.00005
20077,0.83354,0.000027,0.000066,0.00005
20093,0.741965,0.000022,0.000054,0.00005
35033,5.479477,0.000356,0.002008,0.000347
48383,0.986698,0.000026,0.000079,0.000105
21097,3.099625,0.0003,0.000965,0.000807
46123,1.826784,0.000073,0.000284,0.000099
27163,1.809005,0.000097,0.000353,0.000071
27027,0.633782,0.00002,0.000056,0.000071
27075,2.10344,0.000118,0.000443,0.000071
47119,3.996868,0.000462,0.001668,0.000501
47121,4.185673,0.000369,0.001589,0.000501
47005,2.789776,0.000221,0.000726,0.000501
47031,2.454703,0.000259,0.000916,0.000501
47183,1.672275,0.000105,0.000286,0.000501
47089,4.345712,0.000413,0.001658,0.000501
47065,5.20884,0.000467,0.002179,0.000501
6069,10.295545,0.001247,0.005699,0.000882
8023,7.041054,0.000592,0.003335,0.000564
8071,4.474065,0.000432,0.002045,0.000564
11001,2.416958,0.000164,0.000566,0.000164
8069,9.171028,0.000746,0.004179,0.000564
8057,6.845645,0.000407,0.002416,0.000564
8033,8.936632,0.000753,0.004193,0.000564
8083,7.521407,0.000764,0.004076,0.000564
9009,3.754948,0.000213,0.001023,0.000208
9007,3.860622,0.000207,0.00099,0.000208
1097,1.468117,0.000058,0.000194,0.000183
1113,1.966915,0.000118,0.000376,0.000183
1049,3.303859,0.000225,0.000942,0.000183
8113,9.382611,0.000814,0.004446,0.000564
8013,9.808156,0.000933,0.005208,0.000564
8037,14.085332,0.001145,0.006615,0.000564
8109,8.794719,0.000676,0.004123,0.000564
8111,21.156089,0.002204,0.01281,0.000564
8027,9.843018,0.000858,0.00487,0.000564
6043,11.788165,0.001187,0.005877,0.000882
18017,1.098073,0.000059,0.000179,0.000102
18177,1.345099,0.000062,0.00019,0.000102
19021,1.04209,0.000043,0.000118,0.000094
19111,1.412824,0.000074,0.000254,0.000094
18071,2.187143,0.000197,0.000678,0.000102
18041,1.721616,0.000078,0.000275,0.000102
19045,1.567838,0.00007,0.000244,0.000094
18069,0.976602,0.000052,0.000154,0.000102
19059,0.954916,0.000028,0.000093,0.000094
17047,1.269147,0.000048,0.000145,0.000059
18009,0.887683,0.000039,0.000112,0.000102
18125,1.704232,0.000089,0.000282,0.000102
26083,3.181771,0.000146,0.000678,0.000073
26107,1.575816,0.000078,0.000252,0.000073
26115,0.754579,0.000033,0.000094,0.000073
26097,1.163704,0.000043,0.000137,0.000073
26013,2.107705,0.0001,0.000354,0.000073
26129,1.665375,0.000082,0.000272,0.000073
48001,1.939061,0.000086,0.00032,0.000105
48185,1.33745,0.000056,0.000162,0.000105
48373,1.525646,0.000064,0.000211,0.000105
48359,1.958848,0.000109,0.000339,0.000105
48053,2.271608,0.000102,0.000433,0.000105
48395,1.200551,0.000042,0.000136,0.000105
48199,1.059362,0.00005,0.000135,0.000105
51191,8.742513,0.001252,0.005345,0.000533
51139,9.12096,0.000708,0.004086,0.000533
51073,1.430472,0.000093,0.000273,0.000533
51069,4.417298,0.000305,0.001337,0.000533
51093,1.435867,0.000101,0.00026,0.000533
51095,1.690977,0.000113,0.00035,0.000533
51067,5.830404,0.000608,0.002633,0.000533
51003,5.887377,0.000442,0.002179,0.000533
51099,2.093586,0.000156,0.000481,0.000533
51125,8.736612,0.000812,0.004217,0.000533
51175,1.347227,0.000088,0.00022,0.000533
51061,3.481534,0.000185,0.000881,0.000533
51005,11.888164,0.001502,0.006731,0.000533
51153,2.282901,0.000136,0.000483,0.000533
51041,1.722606,0.000084,0.000269,0.000533
51027,15.949833,0.003173,0.015156,0.000533
51149,1.247048,0.000064,0.000185,0.000533
51089,4.336434,0.000424,0.001617,0.000533
51185,11.053519,0.001391,0.006392,0.000533
51131,0.728069,0.000073,0.000181,0.000533
51141,7.206427,0.000884,0.003937,0.000533
51145,2.182414,0.000129,0.000409,0.000533
51171,6.889369,0.000407,0.002343,0.000533
51193,1.795351,0.000133,0.000416,0.000533
51177,1.941641,0.0001,0.000331,0.000533
51033,1.92713,0.00012,0.000388,0.000533
51023,9.057082,0.000957,0.004479,0.000533
51163,9.300511,0.000905,0.004561,0.000533
31151,1.093644,0.000042,0.000114,0.000076
31101,1.69505,0.000072,0.000266,0.000076
12029,1.343363,0.00012,0.000276,0.000081
31135,0.846547,0.000024,0.000068,0.000076
5085,0.887615,0.000041,0.000119,0.000201
5007,2.867213,0.000269,0.000944,0.000201
5039,1.59804,0.000071,0.000229,0.000201
5045,2.359144,0.000143,0.000566,0.000201
5095,0.781799,0.000034,0.000092,0.000201
5117,0.826661,0.000038,0.000102,0.000201
